target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
9.075,9.075,7.327365,7.4,9.126,9.126002,6.871432,7.4,9.035,9.035,7.773262,7.4,8.981,8.981001,8.139606,7.4,8.394,8.394,7.7450647,7.4,8.357,8.357,7.165396,7.4,8.768,8.768,7.734194,7.4
9.31,9.31,7.591386,8.0,9.386,9.386001,7.3070474,8.0,9.191,9.191001,8.040077,8.0,9.101,9.100999,8.457759,8.0,9.163,9.163,8.460654,8.0,9.036,9.035999,7.7638297,8.0,9.37,9.37,8.385649,8.0
9.197,9.197,7.5788794,8.0,9.316,9.316,7.562025,8.0,9.021,9.021,8.069019,8.0,8.942,8.942,8.360735,8.0,9.111,9.111,8.319025,8.0,9.004,9.003999,7.796332,8.0,9.463,9.463,8.380363,8.0
9.614,9.614001,8.101068,8.3,9.649,9.649,7.7754416,8.3,9.421,9.421,8.3659115,8.3,9.429,9.429,8.516455,8.3,9.481,9.481,8.61026,8.3,9.396,9.396,8.303414,8.3,9.715,9.715,8.773324,8.3
9.654,9.653999,8.184766,8.5,9.665,9.665002,7.721391,8.5,9.527,9.527,8.480448,8.5,9.418,9.417999,8.48378,8.5,9.544,9.544,8.722823,8.5,9.561,9.561,8.236926,8.5,9.815,9.815,8.657771,8.5
9.924,9.924,8.369442,8.6,9.914,9.914,8.102968,8.6,9.745,9.745,8.637733,8.6,9.705,9.705,8.815931,8.6,9.638,9.638,8.741962,8.6,9.529,9.529001,8.444932,8.6,9.88,9.88,8.812637,8.6
9.785,9.785,8.5538,8.6,9.797,9.797001,7.9994974,8.6,9.68,9.68,8.786784,8.6,9.609,9.609,8.785199,8.6,9.837,9.837,8.921223,8.6,9.846,9.846,8.692358,8.6,10.073,10.073,8.997405,8.6
11.029,11.029001,10.096318,9.4,11.172,11.172001,9.516552,9.4,10.994,10.994,10.376727,9.4,10.995,10.995,10.332272,9.4,10.684,10.684,10.458285,9.4,10.773,10.773,10.1298685,9.4,10.918,10.918,10.420474,9.4
15.152,15.152,12.484307,13.3,15.161,15.160999,12.104477,13.3,14.985,14.985001,12.766371,13.3,14.824,14.824001,12.5514,13.3,15.376,15.376,13.031632,13.3,14.978,14.978,12.905862,13.3,15.697,15.697,12.793734,13.3
17.706,17.706,14.219172,15.9,17.586,17.586,13.535595,15.9,17.393,17.393002,14.132309,15.9,17.345,17.345,13.779655,15.9,17.495,17.495,14.328209,15.9,18.961,18.961002,14.472162,15.9,18.059,18.059,14.115557,15.9
21.56,21.56,15.400482,19.5,21.597,21.597,14.691647,19.5,21.109,21.109,15.104171,19.5,20.966,20.966,14.584522,19.5,21.482,21.482,15.111553,19.5,21.752,21.752,15.28581,19.5,22.184,22.184,15.260885,19.5
17.228,17.228,13.427365,16.5,17.238,17.238003,12.719663,16.5,16.814,16.814001,13.251377,16.5,16.545,16.544998,13.157063,16.5,17.189,17.189,13.642357,16.5,16.991,16.991,13.473564,16.5,17.61,17.61,13.681342,16.5
16.289,16.289,12.3591175,15.8,16.357,16.357,11.635298,15.8,16.147,16.147,12.145027,15.8,16.062,16.062,12.150892,15.8,16.289,16.289,12.835137,15.8,16.049,16.049,12.403966,15.8,16.641,16.641,12.7482395,15.8
13.676,13.676,11.497724,13.0,13.825,13.825001,10.878537,13.0,13.434,13.434001,11.434714,13.0,13.46,13.46,11.497057,13.0,13.629,13.629001,11.82645,13.0,13.473,13.473,11.414017,13.0,13.871,13.871,11.862708,13.0
12.128,12.128001,11.044106,11.5,12.146,12.146,10.241512,11.5,12.01,12.010001,11.090701,11.5,12.043,12.043001,11.145773,11.5,12.449,12.449,11.267264,11.5,12.29,12.29,10.934593,11.5,12.443,12.443,11.450417,11.5
11.925,11.925,10.810213,11.1,12.042,12.041999,10.343883,11.1,11.901,11.901,10.943106,11.1,11.877,11.877001,11.147802,11.1,12.192,12.192,11.139482,11.1,12.086,12.0859995,10.645825,11.1,12.287,12.287,11.384248,11.1
11.778,11.778,10.555771,10.9,11.786,11.786001,10.293375,10.9,11.669,11.669,10.634303,10.9,11.628,11.628,10.856393,10.9,11.992,11.992,11.071894,10.9,11.916,11.915999,10.532437,10.9,12.095,12.095001,11.0929985,10.9
11.479,11.479,10.638459,10.3,11.488,11.488,10.053172,10.3,11.411,11.411001,10.97625,10.3,11.39,11.39,11.414337,10.3,11.482,11.482,11.296238,10.3,11.463,11.463,10.833721,10.3,11.563,11.563,11.171821,10.3
11.238,11.237999,9.693423,10.0,11.23,11.2300005,8.990298,10.0,11.21,11.21,9.894039,10.0,11.122,11.122,10.3155775,10.0,11.291,11.291,10.684538,10.0,11.218,11.218,10.0690365,10.0,11.353,11.353,10.44073,10.0
10.599,10.599,8.645947,9.3,10.634,10.634,8.023957,9.3,10.559,10.559001,8.97745,9.3,10.49,10.49,9.165994,9.3,10.472,10.472,9.521523,9.3,10.487,10.487,8.862029,9.3,10.609,10.609,9.346976,9.3
9.247,9.247,7.1242337,7.9,9.242,9.242,6.63598,7.9,9.245,9.244999,7.5879626,7.9,9.22,9.220001,7.756463,7.9,9.228,9.228,8.216702,7.9,9.146,9.146,7.549378,7.9,9.274,9.274,7.9692693,7.9
7.263,7.2630005,10.124399,5.7,7.351,7.351,9.878554,5.7,7.699,7.698999,10.831531,5.7,7.592,7.592,10.517467,5.7,7.741,7.741,11.391036,5.7,7.87,7.8700004,11.116891,5.7,7.899,7.8990006,10.637522,5.7
17.678,17.678,15.815475,18.3,18.423,18.423,15.14389,18.3,17.443,17.443,15.649813,18.3,17.879,17.879002,14.885392,18.3,18.99,18.99,14.880853,18.3,19.245,19.245,15.919277,18.3,19.588,19.588,14.474454,18.3
24.265,24.265,16.532982,22.5,23.725,23.725,15.20082,22.5,22.522,22.522,15.778813,22.5,22.779,22.779,14.955203,22.5,22.657,22.657,15.253345,22.5,23.403,23.403002,15.958745,22.5,23.463,23.463,15.942727,22.5
15.883,15.883,10.044503,15.9,15.831,15.831002,9.258645,15.9,16.007,16.007,10.002421,15.9,15.649,15.649,10.105981,15.9,16.75,16.749998,10.824475,15.9,17.363,17.363,10.209306,15.9,15.864,15.864,10.638592,15.9
