,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,target_1,y_test_1,predicted_1,evja_temp_1,target_2,y_test_2,predicted_2,evja_temp_2,target_3,y_test_3,predicted_3,evja_temp_3,target_4,y_test_4,predicted_4,evja_temp_4,target_5,y_test_5,predicted_5,evja_temp_5,target_6,y_test_6,predicted_6,evja_temp_6,target_7,y_test_7,predicted_7,evja_temp_7
0,0,0,0,0,0,0,9.264,9.264001,15.353419,8.2,5.581,5.581,13.836305,4.7,18.276,18.276,16.036211,17.6,10.024,10.024,15.72108,9.3,8.121,8.121001,15.799127,6.5,12.749,12.748999,11.521917,12.0,22.502,22.502003,17.152946,22.1
1,1,1,1,1,1,1,16.862,16.862,17.652727,15.9,20.787,20.787,20.047075,19.2,5.966,5.966,14.552277,4.9,7.517,7.5169997,16.033695,6.6,9.634,9.634,14.115977,8.6,30.162,30.162004,20.982183,31.4,10.866,10.866,13.828281,9.3
2,2,2,2,2,2,2,26.718,26.717999,17.92443,30.3,27.433,27.433,17.412676,26.5,6.906,6.905999,9.966598,5.5,24.374,24.374,21.59251,25.0,13.511,13.511,19.094563,13.0,21.345,21.345,18.336943,20.6,20.153,20.153,17.851383,18.8
3,3,3,3,3,3,3,14.047,14.047,13.480874,13.3,29.742,29.742,25.0605,31.9,19.781,19.781,17.77527,19.0,12.621,12.621,19.649212,10.7,17.784,17.784,13.163008,16.6,23.115,23.115,22.421028,21.6,18.091,18.091,17.125027,16.8
4,4,4,4,4,4,4,18.915,18.914997,19.40372,18.1,11.221,11.221001,15.045232,10.3,19.273,19.273003,15.7969265,18.2,22.429,22.429003,18.058062,21.9,26.813,26.813,19.083267,26.7,13.382,13.382,18.624235,12.5,22.389,22.389,17.62148,20.9
5,5,5,5,5,5,5,20.783,20.783003,24.504972,22.9,18.004,18.004,21.29245,17.1,6.941,6.941,11.129577,6.7,15.537,15.537001,15.511938,15.1,6.936,6.936,12.165309,5.9,14.285,14.285,16.030046,13.3,23.958,23.958,20.442749,23.9
6,6,6,6,6,6,6,20.034,20.034,21.189554,19.6,15.691,15.691,13.61232,15.1,18.763,18.763,21.720514,18.0,14.815,14.815,21.457685,14.2,5.711,5.7109995,16.594963,3.7,27.27,27.270002,21.306158,27.2,15.664,15.664,17.565065,15.0
7,7,7,7,7,7,7,10.035,10.035,18.693539,8.6,9.299,9.299,16.138744,7.8,17.772,17.772,15.665607,17.3,1.761,1.7610003,11.5991125,0.9,16.664,16.664,16.137394,15.8,7.967,7.967,17.090084,6.4,25.44,25.44,22.54408,24.0
8,8,8,8,8,8,8,11.64,11.64,13.315299,10.3,6.504,6.504,14.789672,5.5,14.433,14.433,17.529634,14.0,9.24,9.24,10.870708,8.5,13.623,13.623,15.889035,13.3,20.694,20.694002,21.685709,20.6,21.126,21.125998,20.081682,20.2
9,9,9,9,9,9,9,18.545,18.544998,19.2452,17.6,18.062,18.062002,18.013021,17.6,0.768,0.7679998,21.019444,0.1,18.499,18.499,12.674743,17.6,23.624,23.624,20.441168,21.7,13.966,13.966,10.310961,13.1,29.196,29.195997,25.304354,26.8
10,10,10,10,10,10,10,19.426,19.425999,14.775785,19.1,16.421,16.421001,15.912698,15.1,14.393,14.393,16.338884,13.3,6.498,6.4980006,13.338674,5.9,9.851,9.851,11.135834,7.8,7.746,7.746,15.434211,6.3,19.63,19.63,15.25122,18.9
11,11,11,11,11,11,11,24.939,24.938997,21.33233,24.7,14.776,14.776001,18.206455,14.1,24.904,24.904,15.296816,24.9,19.259,19.259003,20.993755,18.4,15.621,15.621,17.333067,15.1,18.033,18.033,17.609465,17.1,7.899,7.8990006,9.963172,5.7
12,12,12,12,12,12,12,15.615,15.615,12.411102,14.6,14.282,14.282001,13.988004,13.4,19.778,19.778,17.474312,16.7,14.444,14.444,21.426758,14.9,14.8,14.8,17.16303,14.4,26.042,26.042004,23.03659,28.0,12.031,12.031,11.430319,11.3
13,13,13,13,13,13,13,28.892,28.891998,15.412625,29.3,28.756,28.756,21.67339,30.7,19.811,19.810999,17.059874,18.4,20.521,20.520998,21.033403,20.5,19.319,19.319,16.35009,18.8,13.52,13.52,17.933313,12.6,9.974,9.974,13.534439,7.8
14,14,14,14,14,14,14,19.655,19.654999,18.050835,18.6,15.743,15.743,16.51832,15.0,0.811,0.81099993,14.546357,-0.1,10.834,10.834,17.089897,10.1,30.088,30.088,15.8872,28.4,17.196,17.196,25.769524,16.5,15.07,15.07,16.311708,14.2
15,15,15,15,15,15,15,28.394,28.393997,17.716963,28.9,16.5,16.500002,19.12926,15.8,9.245,9.244999,8.836719,7.9,27.788,27.788002,18.640743,29.6,27.724,27.724,15.571904,23.1,29.407,29.407001,19.645878,31.4,18.711,18.711,18.40538,18.2
